PhVcal_c00r64_C0   0  64  -149977.42   150022.59    2444.288       264.0       -60.6
PhVcal_c00r65_C0   0  65  -149975.80   150024.21    2450.946       259.3       -71.2
PhVcal_c00r66_C0   0  66  -149976.19   150023.82    2498.913       257.8       -58.1
PhVcal_c00r67_C0   0  67  -149976.58   150023.42    2472.760       256.7       -73.8
PhVcal_c00r68_C0   0  68  -149973.79   150026.21    2543.163       246.9       -80.1
PhVcal_c00r69_C0   0  69  -149978.05   150021.95    2425.608       264.6       -44.2
PhVcal_c00r70_C0   0  70  -149975.66   150024.35    2440.578       260.5       -57.0
PhVcal_c00r71_C0   0  71  -149976.45   150023.56    2510.918       251.6       -62.2
PhVcal_c00r72_C0   0  72  -149976.92   150023.09    2461.421       260.0       -59.9
PhVcal_c00r73_C0   0  73  -149975.58   150024.43    2474.232       254.2       -70.9
PhVcal_c00r74_C0   0  74  -149973.65   150026.35    2514.268       244.4       -77.3
PhVcal_c00r75_C0   0  75  -149977.33   150022.68    2388.019       267.1       -47.8
PhVcal_c00r76_C0   0  76  -149977.32   150022.69    2382.403       265.9       -63.4
PhVcal_c00r77_C0   0  77  -149976.55   150023.45    2435.747       261.3       -73.6
PhVcal_c00r78_C0   0  78  -149976.52   150023.49    2458.658       258.6       -59.7
PhVcal_c00r79_C0   0  79  -149973.55   150026.46    2339.671       249.3       -67.9
PhVcal_c01r00_C0   1   0  -149978.93   150021.08    2735.339       259.0       -47.0
PhVcal_c01r01_C0   1   1  -149976.72   150023.28    2764.384       250.5       -56.0
PhVcal_c01r02_C0   1   2  -149976.15   150023.92    2761.503       248.0       -68.6
PhVcal_c01r03_C0   1   3  -149980.02   150020.01    2675.322       261.8       -32.1
PhVcal_c01r04_C0   1   4  -149977.36   150022.65    2719.634       255.2       -42.1
PhVcal_c01r05_C0   1   5  -149976.62   150023.38    2809.880       249.4       -50.8
PhVcal_c01r06_C0   1   6  -149978.86   150021.15    2693.408       259.8       -49.4
PhVcal_c01r07_C0   1   7  -149978.63   150021.37    2837.935       249.9       -56.7
PhVcal_c01r08_C0   1   8  -149977.31   150022.69    2786.925       249.2       -71.0
PhVcal_c01r09_C0   1   9  -149979.40   150019.90    2595.779       266.0       -37.7
PhVcal_c01r10_C0   1  10  -149977.53   150022.48    2646.851       259.0       -47.5
PhVcal_c01r11_C0   1  11  -149977.37   150022.63    2747.663       252.5       -55.8
PhVcal_c01r12_C0   1  12  -149978.52   150021.45    2741.495       255.2       -47.1
PhVcal_c01r13_C0   1  13  -149977.62   150022.38    2725.729       253.7       -62.4
PhVcal_c01r14_C0   1  14  -149976.31   150023.69    2785.612       245.0       -69.5
PhVcal_c01r15_C0   1  15  -149979.55   150020.45    2579.352       267.5       -39.4
PhVcal_c01r16_C0   1  16  -149979.08   150020.93    2639.666       262.6       -50.6
PhVcal_c01r17_C0   1  17  -149976.89   150023.11    2757.261       252.0       -55.4
PhVcal_c01r18_C0   1  18  -149977.84   150022.16    2714.692       255.0       -46.8
PhVcal_c01r19_C0   1  19  -149977.36   150022.65    2703.868       255.2       -63.8
PhVcal_c01r20_C0   1  20  -149974.71   150025.29    2764.709       243.6       -68.1
PhVcal_c01r21_C0   1  21  -149977.61   150022.40    2631.286       260.7       -34.2
PhVcal_c01r22_C0   1  22  -149977.34   150022.66    2673.434       256.6       -46.5
PhVcal_c01r23_C0   1  23  -149979.21   150020.80    2667.974       261.6       -66.0
PhVcal_c01r24_C0   1  24  -149977.62   150022.39    2682.947       257.8       -51.0
PhVcal_c01r25_C0   1  25  -116393.07   116441.68    2095.934       249.1       -59.7
PhVcal_c01r26_C0   1  26  -149974.81   150025.19    2775.173       244.1       -69.9
PhVcal_c01r27_C0   1  27  -149980.57   150019.44    2557.663       271.1       -43.9
PhVcal_c01r28_C0   1  28  -149977.38   150022.62    2647.287       257.8       -47.7
PhVcal_c01r29_C0   1  29  -149977.82   150022.19    2666.954       259.2       -63.6
PhVcal_c01r30_C0   1  30  -149979.69   150020.32    2593.308       264.5       -57.3
PhVcal_c01r31_C0   1  31  -149976.85   150023.15    2692.926       251.3       -61.6
PhVcal_c01r32_C0   1  32  -149976.55   150023.45    2750.004       247.9       -73.4
PhVcal_c01r33_C0   1  33  -149978.39   150021.61    2585.064       264.5       -37.5
PhVcal_c01r34_C0   1  34  -149980.00   150020.01    2593.124       267.2       -56.2
PhVcal_c01r35_C0   1  35  -149976.63   150023.37    2671.167       255.8       -60.3
PhVcal_c01r36_C0   1  36  -149978.30   150021.71    2668.211       258.8       -51.5
PhVcal_c01r37_C0   1  37  -149976.94   150023.07    2647.521       255.9       -65.8
PhVcal_c01r38_C0   1  38  -149977.12   150022.88    2720.692       250.5       -75.5
PhVcal_c01r39_C0   1  39  -149978.78   150021.23    2565.955       264.0       -38.3
PhVcal_c01r40_C0   1  40  -149979.85   150020.16    2608.027       264.8       -55.1
PhVcal_c01r41_C0   1  41  -149976.73   150023.28    2712.630       251.6       -57.4
PhVcal_c01r42_C0   1  42  -149978.41   150021.60    2671.277       257.5       -51.7
PhVcal_c01r43_C0   1  43  -149975.76   150024.25    2693.076       251.7       -63.3
PhVcal_c01r44_C0   1  44  -149977.07   150022.93    2684.106       249.1       -75.9
PhVcal_c01r45_C0   1  45  -149980.00   150020.01    2588.412       266.0       -39.4
PhVcal_c01r46_C0   1  46  -149977.64   150022.37    2645.982       258.0       -48.4
PhVcal_c01r47_C0   1  47  -149976.47   150023.54    2664.300       252.5       -57.7
PhVcal_c01r48_C0   1  48  -149978.53   150021.48    2620.181       261.0       -54.3
PhVcal_c01r49_C0   1  49  -149979.31   150020.70    2674.186       257.4       -67.7
PhVcal_c01r50_C0   1  50  -149976.63   150023.37    2687.320       249.5       -75.8
PhVcal_c01r51_C0   1  51  -149981.04   150018.96    2540.779       272.4       -45.6
PhVcal_c01r52_C0   1  52  -149981.12   150018.89    2553.713       269.9       -59.0
PhVcal_c01r53_C0   1  53  -149977.73   150022.28    2628.680       259.3       -63.8
PhVcal_c01r54_C0   1  54  -149979.02   150020.99    2630.757       262.5       -55.6
PhVcal_c01r55_C0   1  55  -149978.28   150021.72    2643.149       258.1       -67.8
PhVcal_c01r56_C0   1  56  -149977.15   150022.85    2669.557       253.6       -79.5
PhVcal_c01r57_C0   1  57  -149980.20   150019.80    2586.424       268.9       -44.1
PhVcal_c01r58_C0   1  58  -149980.63   150019.38    2596.125       266.5       -57.5
PhVcal_c01r59_C0   1  59  -149978.61   150021.39    2640.596       261.1       -67.2
PhVcal_c01r60_C0   1  60  -149979.47   150020.53    2630.589       261.9       -56.8
PhVcal_c01r61_C0   1  61  -149978.25   150021.75    2630.594       256.3       -67.9
PhVcal_c01r62_C0   1  62  -149978.78   150021.22    2684.797       254.1       -80.8
PhVcal_c01r63_C0   1  63  -149982.30   150017.71    2526.232       275.3       -49.9
